Is the innovation hub wheelchair accessible?,Collaboration spaces are designed with wheelchair-accessible workstations.,handy cab,,
Are campus elevators voice-announced for wheelchair users?,Elevators feature audio announcements and braille controls for accessibility.,handy cab,,
Is the rooftop accessible for wheelchairs?,Accessible rooftop terraces are available via elevators at <chairlocation>.,handy cab,,
Do you provide wheelchair-accessible campus housing?,Dedicated accessible dorm rooms feature widened doors and adapted bathrooms.,handy cab,,
Are service animal relief areas wheelchair accessible?,Service animal zones include wheelchair-accessible pathways nearby.,handy cab,,
Is the writing center wheelchair accessible?,Academic support centers have fully accessible consultation spaces.,handy cab,,
Are campus information kiosks wheelchair height?,Interactive kiosks are positioned at wheelchair-appropriate heights.,handy cab,,
Is the botanical garden wheelchair navigable?,Conservatory pathways are designed for wheelchair access throughout.,handy cab,,
Do you have accessible campus merchandise stores?,The campus store features wheelchair-friendly aisles and checkout counters.,handy cab,,
Is the disability services office wheelchair accessible?,Our accessibility office has barrier-free entry and consultation rooms.,handy cab,,
Are campus bus stops wheelchair friendly?,Transit stops include wheelchair boarding platforms at <chairlocation>.,handy cab,,
Is the archive room wheelchair accessible?,Special collections areas feature wheelchair-accessible viewing stations.,handy cab,,
Do you provide wheelchair-accessible campus orientations?,New student orientations include dedicated wheelchair-access tours.,handy cab,,
Are campus escalators supplemented with wheelchair options?,All escalators have adjacent wheelchair-accessible elevators at <chairlocation>.,handy cab,,
Is the prayer room wheelchair accessible?,Multifaith spaces include wheelchair-accessible prayer areas and ablution facilities.,handy cab,,
Are campus fountains wheelchair accessible?,Public art installations feature wheelchair-accessible viewing areas.,handy cab,,
Is the student government office wheelchair accessible?,Leadership offices have wheelchair-accessible meeting spaces.,handy cab,,
Do you have accessible power outlets for wheelchairs?,Conveniently placed power sources for wheelchair charging are available campus-wide.,handy cab,,
Is the robotics lab wheelchair accessible?,Engineering labs feature wheelchair-height workbenches at <chairlocation>.,handy cab,,
Are campus benches spaced for wheelchair transfer?,Seating areas include transfer-friendly benches throughout pathways.,handy cab,,
Is the counseling center wheelchair accessible?,Mental health services are provided in fully accessible private offices.,handy cab,,
Do you provide campus accessibility training for wheelchair users?,Orientation includes customized mobility mapping of key areas like <chairlocation>.,handy cab,,
Are campus building names in Braille for wheelchair users?,Tactile building identification assists wheelchair navigation at entrances.,handy cab,,
Is the greenhouse wheelchair accessible?,Horticultural facilities feature wheelchair-accessible growing beds and aisles.,handy cab,,
Are campus sidewalks smooth for wheelchairs?,Paved pathways are maintained for smooth wheelchair travel throughout.,handy cab,,
Is the alumni hall wheelchair accessible?,Event venues include wheelchair-accessible stages and reception areas.,handy cab,,
Do you have accessible campus dining options?,Dining halls feature wheelchair-friendly serving lines and seating.,handy cab,,
Are campus emergency phones wheelchair height?,Emergency call stations are positioned at wheelchair-accessible heights.,handy cab,,
Is the sculpture garden wheelchair navigable?,Art installations feature wheelchair-accessible viewing paths.,handy cab,,
